code_pays,pays,salary_median_ED0-2,salary_median_ED3-4,salary_median_ED5-8,salary_gap_ED5-8_vs_ED0-2
AL,Albanie,3194,4119,5642,0.43388869195320806
AT,Autriche,24290,32981,37322,0.3491774288623332
BE,Belgique,21438,29065,35280,0.3923469387755102
BG,Bulgarie,3684,7146,10774,0.658065713755337
CH,Suisse,40505,50170,63193,0.35902710743278526
CY,Chypre,15653,18544,24243,0.35432908468423874
CZ,République tchèque,11336,14450,18328,0.381492797904845
DE,Allemagne,21430,27197,36000,0.4047222222222222
DK,Danemark,32552,34364,40124,0.18871498355099192
EE,Estonie,12499,15070,20241,0.38249098364705303
EL,Grèce,8026,9843,13279,0.39558701709466076
ES,Espagne,14862,17637,24025,0.3813943808532778
FI,Finlande,26020,27277,34694,0.25001441171384103
FR,France,19068,23411,31837,0.4010742218173823
HR,Croatie,7555,10338,14011,0.46078081507387053
HU,Hongrie,6077,7382,8557,0.2898211990183476
IE,Irlande,25470,29928,37886,0.32772000211159796
IT,Italie,16475,21286,26826,0.3858570043987177
LT,Lituanie,8609,10669,16282,0.47125660238299966
LU,Luxembourg,33496,45083,60900,0.4499835796387521
LV,Lettonie,9235,10835,16156,0.4283857390443179
MK,Macédoine du Nord,2862,4233,5783,0.5051011585682171
MT,Malte,17335,21802,27810,0.37666307083782813
NL,Pays-Bas,24822,29581,35950,0.30954102920723225
NO,Norvège,38379,43053,47498,0.19198703103288559
PL,Pologne,7571,9756,12911,0.4136008055146774
PT,Portugal,10002,12056,17172,0.4175401816911251
RO,Roumanie,3428,6808,11118,0.6916711638783954
RS,Serbie,3375,5050,7071,0.5226983453542638
SE,Suède,21585,29555,33278,0.3513732796442094
SI,Slovénie,15026,17970,22045,0.31839419369471533
SK,Slovaquie,6444,9548,10569,0.39029236446210613
TR,Türkiye,2632,3415,5340,0.5071161048689139
